timestamp,structure_id,sensor_id,location,stress_MPa,strain_microstrain,vibration_m_s2,crack_length_mm,temperature_C,humidity_pct,moisture_pct,permeability_e_minus12_m2,corrosion_rate_mm_per_yr,battery_voltage,signal_strength_dBm,status_flag,anomaly
2025-05-01 14:31:12.907290624,BRG-010,NODE-0024,midspan,19.24,252.4,0.4589,0.055,21.93,55.06,1.893,0.8788,0.1131,3.412,-81.5,ok,False
2025-02-27 21:05:22.952295424,BRG-015,NODE-0086,beam,18.365,525.85,0.0525,0.286,29.76,31.76,2.189,0.7865,0.1118,4.002,-63.3,ok,False
2024-11-01 17:55:34.293429248,BRG-001,NODE-0092,support,14.723,258.53,0.3374,0.02,11.06,29.76,1.545,1.2268,0.2035,3.404,-55.9,ok,False
2025-03-02 04:46:30.999099904,BRG-012,NODE-0089,deck,9.145,175.79,0.6297,0.235,25.73,41.11,2.482,0.7585,0.0325,3.656,-72.6,ok,False
2025-02-21 08:35:38.613861376,BRG-020,NODE-0066,support,13.308,553.34,0.1757,0.398,26.11,42.64,2.761,0.9361,0.2082,3.901,-73.3,ok,False
2025-05-05 03:00:31.323132160,BRG-002,NODE-0066,deck,20.378,182.72,0.1049,0.098,28.01,56.47,1.964,0.9729,0.046,3.456,-78.7,ok,False
2024-09-16 13:00:55.085508608,BRG-002,NODE-0079,midspan,15.607,390.73,0.0779,0.455,24.04,55.5,2.259,0.9568,0.034,3.038,-64.7,ok,False
2025-03-20 14:25:09.990999040,BRG-009,NODE-0070,abutment,22.383,245.96,0.1602,0.066,11.18,31.86,1.94,0.8463,0.1554,3.119,-57.0,ok,False
2025-05-06 01:05:27.272727296,BRG-005,NODE-0026,midspan,9.9,198.77,0.181,0.067,24.99,53.11,1.556,0.9074,0.0286,3.493,-72.3,ok,False
2024-09-11 01:28:55.733573376,BRG-010,NODE-0097,foundation,9.437,240.91,0.1132,0.452,25.09,70.5,2.191,1.2388,0.1525,3.049,-68.1,ok,False
2024-12-12 12:15:50.495049472,BRG-017,NODE-0100,support,21.392,333.93,0.1791,0.043,18.79,45.68,1.513,1.0415,0.0867,4.091,-57.9,ok,False
2025-06-20 00:14:19.765976576,BRG-007,NODE-0041,support,20.288,182.55,0.6766,0.549,6.23,64.74,1.629,1.0929,0.0521,4.025,-55.7,maintenance_needed,False
2025-03-23 09:37:34.185418496,BRG-007,NODE-0043,beam,21.585,93.37,0.1783,0.06,8.09,31.78,2.43,1.0195,0.1489,3.475,-90.0,ok,False
2025-04-07 15:25:21.872187136,BRG-006,NODE-0012,column,18.232,500.94,0.1372,0.048,5.32,26.01,2.302,0.6523,0.198,3.253,-79.2,sensor_fault,True
2025-01-31 11:25:26.192619264,BRG-009,NODE-0042,beam,14.553,177.02,0.0157,0.538,17.4,64.19,1.819,0.8774,0.0227,3.727,-69.5,ok,False
2025-04-22 20:15:33.213321472,BRG-007,NODE-0083,midspan,21.55,323.33,0.5341,0.089,16.96,34.57,1.498,1.0964,0.1392,3.136,-70.3,maintenance_needed,False
2024-09-16 18:46:33.159315712,BRG-015,NODE-0032,foundation,7.563,365.47,0.1197,0.543,29.75,65.29,2.641,0.786,0.2155,3.96,-83.9,ok,False
2025-09-25 17:45:12.151215104,BRG-015,NODE-0094,abutment,5.305,203.69,0.3588,0.069,11.68,66.33,2.22,0.8385,0.1122,3.602,-77.8,ok,False
2025-06-02 13:38:13.069306880,BRG-018,NODE-0065,midspan,9.18,524.27,0.1968,0.342,14.02,75.46,1.103,1.2058,0.0902,3.489,-89.0,ok,False
2025-07-16 20:27:47.686768896,BRG-009,NODE-0030,column,10.822,475.05,0.3711,0.19,17.97,34.59,2.025,1.3274,0.1248,4.06,-56.4,ok,False
2025-09-24 09:06:36.399640064,BRG-004,NODE-0001,column,22.01,260.24,0.1524,0.032,12.72,73.06,2.86,0.938,0.1906,3.19,-84.5,ok,False
2024-11-22 11:15:21.332133376,BRG-006,NODE-0032,midspan,15.39,248.56,0.3467,0.01,24.21,30.51,1.604,1.1369,0.0972,4.126,-79.9,ok,False
